100102927	200400
100103140	200401
100103291	200402
100103419	200403
100103590	200404
100103737	200405
100103834	200406
100104088	200407
100104249	200408
100104409	200409
100104539	200410
100104976	200411
100105164	200412
100105271	200413
100105479	200414
100105624	200415
100105820	200416
100106104	200417
100106272	200418
100106726	200419
100106888	200420
100107016	200421
100107137	200422
100107279	200423
100107400	200424
100107551	200425
100107684	200426
100107875	200427
100108081	200428
100108181	200429
100108427	200430
100108545	200431
100108665	200432
100108818	200433
100108965	200434
100109081	200435
100109227	200436
100109414	200437
100109771	200438
100109892	200439
100110057	200440
100110415	200441
100110554	200442
100110745	200443
100110834	200444
100110964	200445
100111222	200446
100111358	200447
100111503	200448
100111660	200449
100111839	200450
100111962	200451
100112072	200452
100112185	200453
100112312	200454
100112674	200455
100112828	200456
100112997	200457
100113113	200458
100113532	200459
100113726	200460
100113954	200461
100114095	200462
100114298	200463
100114431	200464
100114871	200465
100115036	200466
100115292	200467
100115500	200468
100115667	200469
100115803	200470
100116008	200471
100116122	200472
100116376	200473
100116687	200474
100116989	200475
100117124	200476
100117267	200477
100117578	200478
100117810	200479
100117959	200480
100118268	200481
100118445	200482
100118552	200483
100118733	200484
100119079	200485
100119210	200486
100119297	200487
100119402	200488
100119568	200489
100119893	200490
100120010	200491
100120202	200492
100120515	200493
100120647	200494
100120804	200495
100120943	200496
100121166	200497
100121366	200498
100121645	200499
100121904	200500
100122106	200501
100122338	200502
100122530	200503
100122661	200504
100122954	200505
100123143	200506
100123234	200507
100123430	200508
100123652	200509
100123783	200510
100124008	200511
100124151	200512
100124256	200513
100124342	200514
100124536	200515
100124617	200516
100124766	200517
100124880	200518
100125126	200519
100125315	200520
100125436	200521
100125629	200522
100126100	200523
100126236	200524
100126447	200525
100126584	200526
100126721	200527
100126886	200528
100127021	200529
100127151	200530
100127286	200531
100127531	200532
100127672	200533
100127866	200534
100128091	200535
100128324	200536
100128477	200537
100128638	200538
100128867	200539
100128976	200540
100129089	200541
100129317	200542
100129435	200543
100129527	200544
100129743	200545
100130093	200546
100130347	200547
100130512	200548
100130673	200549
100130846	200550
100130987	200551
100131090	200552
100131347	200553
100131485	200554
100131608	200555
100131791	200556
100131877	200557
100131991	200558
100132105	200559
100132219	200560
100132355	200561
100132497	200562
100132601	200563
100132756	200564
100132982	200565
100133160	200566
100133234	200567
100133338	200568
100133567	200569
100133668	200570
100133875	200571
100133981	200572
100134099	200573
100134246	200574
100134391	200575
100134472	200576
100134574	200577
100134780	200578
100135148	200579
100135311	200580
100135504	200581
100135637	200582
100135799	200583
100135952	200584
100136048	200585
100136152	200586
100136230	200587
100136329	200588
100136691	200589
100136876	200590
100136984	200591
100137279	200592
100137534	200593
100137709	200594
100137877	200595
100138078	200596
100138221	200597
100138441	200598
100138599	200599
100138734	200600
100138799	200601
100138956	200602
100139544	200603
100139758	200604
100139919	200605
100140112	200606
100140264	200607
100140393	200608
100140652	200609
100140900	200610
100141027	200611
100141176	200612
100141396	200613
100141669	200614
100141806	200615
100142140	200616
100142361	200617
100142665	200618
100143057	200619
100143251	200620
100143536	200621
100143626	200622
100143763	200623
100143885	200624
100144182	200625
100144445	200626
100144632	200627
100144778	200628
100145024	200629
100145218	200630
100145779	200631
100145929	200632
100146111	200633
100146277	200634
100146443	200635
100146572	200636
100146856	200637
100147091	200638
100147187	200639
100147314	200640
100147454	200641
100147595	200642
100147862	200643
100148057	200644
100148242	200645
100148446	200646
100148653	200647
100148762	200648
100148836	200649
100148978	200650
100149084	200651
100149262	200652
100149508	200653
100149699	200654
100149895	200655
100150097	200656
100150228	200657
100150379	200658
100150591	200659
100150762	200660
100150932	200661
100151087	200662
100151314	200663
100151409	200664
100151497	200665
100151914	200666
100152018	200667
100152230	200668
100152338	200669
100152519	200670
100152727	200671
100152990	200672
100153105	200673
100153288	200674
100153499	200675
100153665	200676
100153809	200677
100153961	200678
100154233	200679
100154433	200680
100154689	200681
100154894	200682
100155085	200683
100155298	200684
100155487	200685
100155797	200686
100155970	200687
100156119	200688
100156293	200689
100156390	200690
100156625	200691
100156812	200692
100157081	200693
100157318	200694
100157463	200695
100157687	200696
100157877	200697
100157957	200698
100158185	200699
100158443	200700
100158805	200701
100158996	200702
100159177	200703
100159396	200704
100159620	200705
100159899	200706
100160073	200707
100160297	200708
100160415	200709
100160532	200710
100160688	200711
100160922	200712
100161044	200713
100161243	200714
100161603	200715
100161739	200716
100161888	200717
100162055	200718
100162236	200719
100162417	200720
100162632	200721
100163047	200722
100163233	200723
100163406	200724
100163630	200725
100163779	200726
100164152	200727
100164345	200728
100164579	200729
100164801	200730
100164999	200731
100165178	200732
100165298	200733
100165563	200734
100165793	200735
100165942	200736
100166172	200737
100166355	200738
100166552	200739
100166702	200740
100166865	200741
100167063	200742
100167278	200743
100167446	200744
100167580	200745
100167764	200746
100167950	200747
100168121	200748
100168237	200749
100168505	200750
100168658	200751
100168911	200752
100169047	200753
100169147	200754
100169305	200755
100169522	200756
100169651	200757
100169811	200758
100170005	200759
100170172	200760
100170340	200761
100170536	200762
100170643	200763
100170710	200764
100170844	200765
100171050	200766
