quasiris_id	topic	nr_in_context	name
feelgreen211	Gegenstand	211	Klimawandel
feelgreen213	Gegenstand	213	Milch
feelgreen215	Gegenstand	215	Schicksal
feelgreen217	Gegenstand	217	Schulkind
feelgreen219	Gegenstand	219	Mensch
feelgreen22	Fussball	22	UEFA
feelgreen221	News	221	Opfer
feelgreen223	Krankheit	223	Wurm
feelgreen225	Gegenstand	225	Wasser
feelgreen227	Gegenstand	227	Müll
feelgreen229	Land	229	Italien
feelgreen23	Fussball	23	Lionel Messi
feelgreen231	Gegenstand	231	Männer
feelgreen233	Gegenstand	233	Internet
feelgreen235	Wirtschaft	235	Elektroindustrie
feelgreen237	Wirtschaft	237	Elektronikindustrie
feelgreen239	Gegenstand	239	CO2
feelgreen24	Fussball	24	Schalke
feelgreen241	Gegenstand	241	Kohlendioxid
feelgreen243	Stadt	243	Toronto
feelgreen245	Krankheit	245	Läuse
feelgreen247	Organisation	247	Forest Stewardship Council
feelgreen249	Gegenstand	249	Verbraucher
feelgreen25	Fussball	25	Neuer
feelgreen251	Gegenstand	251	Dünger
feelgreen253	Gegenstand	253	Insekten
feelgreen255	Person	255	Robin Wood
feelgreen26	Fussball	26	FSV Mainz
feelgreen27	Fussball	27	Thomas Müller
feelgreen28	Fussball	28	Gomez
feelgreen29	Fussball	29	Werder Bremen
feelgreen3	Fussball	3	Bayern München
feelgreen30	Fussball	30	Boateng
feelgreen31	Fussball	31	Fortuna
feelgreen32	Fussball	32	FCB
feelgreen33	Bundesland	33	Bayern
feelgreen34	Sportler	34	Daniel Van Buyten
feelgreen35	Sportler	35	Thomas Schaaf
feelgreen36	Bundesland	36	Bremen
feelgreen37	Stadt	37	München
feelgreen38	Stadt	38	Dortmund
feelgreen39	Stadt	39	Barcelona
feelgreen4	Fussball	4	Mario Götze
feelgreen40	Stadt	40	Madrid
feelgreen41	Stadt	41	Struth
feelgreen42	Stadt	42	Weste
feelgreen43	Stadt	43	Mainz
feelgreen44	Stadt	44	Düsseldorf
feelgreen45	Stadt	45	Leverkusen
feelgreen47	Land	47	Österreich
feelgreen49	Gegenstand	49	Energie
feelgreen5	Fussball	5	Götze
feelgreen51	Gegenstand	51	Strom
feelgreen53	Land	53	USA
