[ INFO  ] BabelNetConfiguration - Loading babelnet.properties FROM /Users/me/dev/cpp/netbase/import/babelnet/config/babelnet.properties
[ INFO  ] BabelNet - OPENING BABEL LEXICON FROM: /Users/me/dev/cpp/netbase/import/babelnet-2.0.0-core-lucene//lexicon
[ INFO  ] BabelNet - OPENING BABEL DICTIONARY FROM: /Users/me/dev/cpp/netbase/import/babelnet-2.0.0-core-lucene//dict
[ INFO  ] BabelNet - OPENING BABEL GLOSSES FROM: /Users/me/dev/cpp/netbase/import/babelnet-2.0.0-core-lucene//gloss
[ INFO  ] BabelNet - OPENING BABEL GRAPH FROM: /Users/me/dev/cpp/netbase/import/babelnet-2.0.0-core-lucene//graph
'hood	/f/f9/	Chelsea1217.JPG	08641944n	
The_Hague	/8/82/	A_square_in_the_center_of_the_Hague.jpg	08950407n	
twenty-two	/6/61/	.22_LR.jpg	04502851n	
zero	/1/1b/	P._Lund,_Inv._35a.jpg	13742358n	
one	/0/0e/	Clock_24_J.jpg	13742573n	
ten	/e/e4/	10_playing_cards.jpg	13746512n	
hundred	/9/94/	New100front.jpg	13750415n	
thousand	/b/b9/	Rieseneiche_1.JPG	13750844n	
eleven	/8/81/	Elferrat.jpg	13746672n	
Martinmas	/1/14/	Bundesarchiv_Bild_194-0273-38,_Sankt_Martinszug.jpg	15185837n	
twelve	/f/fd/	BoeblingenStadtkirche.jpg	13746785n	
twelve-tone_music	/a/ad/	Arnold_Schoenberg_la_1948.jpg	07057539n	
thirteen	/5/59/	P2110024NoThirteenStaAnita_wb.jpg	13747199n	
gross	/8/8e/	Gros.JPG	13750504n	
Bastille_Day	/4/4e/	Prise_de_la_Bastille.jpg	15200493n	
fifteen	/d/d2/	Coquina_variation3.jpg	13747469n	
V-J_Day	/2/27/	Surrender_of_Japan_-_USS_Missouri.jpg	15162882n	
quarter-hour	/3/38/	Liesing_Quando_est_hora_ultima_23052007_01.jpg	15228267n	
seventeen	/0/04/	Braunschweig_Gauss-Denkmal_17-eckiger_Stern.jpg	13747725n	
Revolutionary_Organization_17_November	/8/8b/	November_17.jpg	08042536n	
1870s	/b/bd/	Lignedefeu16August.jpg	15150710n	
nineteen	/e/e1/	Go-result.JPG	13747989n	
1900s	/3/32/	China_imperialism_cartoon.jpg	15148707n	
twenties	/6/6f/	Prohibition.jpg	15148867n	
thirties	/a/ac/	Guerra_peru2_1932_d.jpg	15149180n	
fifties	/d/d0/	Koreanwarmontage.jpg	15149763n	
sixties	/7/76/	Bruce_Crandall's_UH-1D.jpg	15150134n	
seventies	/1/19/	1979_Iranian_Revolution.jpg	15150618n	
eighties	/c/cc/	Beirutbarr.jpg	15150993n	
nineties	/d/dd/	Gulf_War_Photobox.jpg	15151379n	
I_Chronicles	/4/42/	Pray_for_Our_Nation_sign_IMG_3291.JPG	06435651n	
I_Esdra	/c/c9/	Codex_vaticanus.jpg	06459978n	
I_Kings	/5/59/	Saabaghiberti.jpg	06435004n	
I_Samuel	/7/7d/	Ernst_Josephson._-_David_och_Saul.JPG	06434650n	
first_class	/0/06/	Uk_pillarbox_collection.jpg	06265272n	
Bacon	/a/a7/	Pourbus_Francis_Bacon.jpg	10830456n	
