A
A.
a
a.
ab
abbauen
abend
abends
aber
abermals
abgebaut
abgeben
abgebrochen
abgegeben
abgehalten
abgelaufenen
abgelegt
abgelehnt
abgelöst
abgenommen
abgerechnet
abgerissen
abgesagt
abgeschafft
abgeschlossen
abgeschnitten
abgeschoben
abgesehen
abgesetzt
abgesichert
abgestellt
abgestimmt
abgewickelt
abgewiesen
abgezogen
abhängig
ablehnen
abschließen
absehbarer
abseits
absolut
absolute
absoluten
absolviert
abstimmen
absurd
abwarten
abzubauen
abzugeben
abzusehen
abzuwarten
acht
achten
achtzig
achtziger Jahre
achtziger Jahren
aggressiv
agieren
ahnen
aktiv
aktive
aktiven
aktivieren
aktiviert
aktuell
aktuelle
aktuellen
akzeptieren
akzeptiert
all
alle
allein
alleine
allem
allemal
allen
allenfalls
aller
aller Welt
allerdings
allerlei
alles
allesamt
allgemein
allgemeine
allgemeinen
allmählich
allzu
als
also
alt
alte
alten
alter
alternative
alternativen
altes
am
amtierende
amtierenden
amtliche
amtlichen
an
analysieren
analysiert
anbieten
anbietet
and
andere
anderem
anderen
anderer
andererseits
anderes
andern
anders
anderswo
anderthalb
aneinander
anerkannt
anfangen
anfangs
angeben
angeblich
angebliche
angeblichen
angeboten
angebotenen
angebracht
angefangen
angefordert
angeführt
angegeben
angegebenen
angegriffen
angehen
angehoben
angeht
angehören
angehört
angeklagt
angekommen
angekündigt
angekündigte
angekündigten
angelegt
angelegten
angemeldet
angemessen
angemessene
angenehm
angenommen
angeordnet
angepaßt
angeregt
angerichtet
angerufen
angesagt
angeschlossen
angesehen
angesetzt
angesichts
angesiedelt
angesprochen
angestellt
angestrebt
angestrebte
angestrebten
angetan
angetreten
angewandt
angewendet
angewiesen
angezeigt
angrenzenden
anhaltende
anhaltenden
anhand
ankommt
anlegen
anläßlich
anmelden
annehmen
annähernd
anpassen
ans
anscheinend
anschließen
anschließend
anschließenden
ansehen
ansonsten
anstatt
anstehenden
anstelle
antiken
antreten
antworten
antwortet
antwortete
anwesend
anzeigen
anzubieten
anzulegen
anzunehmen
anzusehen
appelliert
appellierte
arbeite
arbeiten
arbeitet
arbeitete
arbeiteten
arbeitslos
arg
argumentiert
arme
armen
attraktiv
attraktive
attraktiver
auch
auf
auf den ersten Blick
auf jeden Fall
auf keinen Fall
aufbauen
aufbringen
aufeinander
aufgebaut
aufgeben
aufgebracht
aufgebrochen
aufgefallen
aufgefordert
aufgeführt
aufgegeben
aufgehoben
aufgeklärt
aufgelöst
aufgenommen
aufgerufen
aufgestellt
aufgestockt
aufgetaucht
aufgeteilt
aufgetreten
aufgewachsen
aufgrund
aufhalten
aufhören
aufkommen
aufmerksam
aufnehmen
aufrechterhalten
aufrufen
aufs
aufstellen
auftauchen
auftreten
auftritt
aufweisen
aufzubauen
aufzugeben
aufzunehmen
aus
ausbauen
ausdrücklich
auseinander
ausfallen
ausführen
ausführlich
ausgebaut
ausgeben
ausgebildet
ausgebrochen
ausgefallen
ausgeführt
ausgegangen
ausgegeben
ausgeglichen
ausgehandelt
ausgehen
ausgeht
ausgelegt
ausgeliefert
ausgelöst
ausgemacht
ausgenommen
ausgerechnet
ausgerichtet
ausgerüstet
ausgeschieden
ausgeschlossen
ausgeschrieben
ausgesetzt
ausgesprochen
ausgestattet
ausgestellt
ausgetauscht
ausgetragen
ausgeweitet
ausgewertet
ausgewiesen
ausgewählt
ausgewählte
ausgewählten
ausgezahlt
ausgezeichnet
ausgeübt
ausgleichen
auskommen
auslösen
ausmachen
ausreichen
ausreichend
ausreichende
ausschließen
ausschließlich
aussehen
aussieht
ausverkauft
auswirken
auswählen
auszubauen
auszugleichen
auszuschließen
ausüben
außen
außer
außerdem
außerhalb
außerordentlich
außerordentlichen
b
bald
bar
basiert
bat
bauen
baut
baute
beabsichtigt
beachten
beachtet
beantragen
beantragt
beantragte
beantworten
beantwortet
bearbeiten
bearbeitet
